model,run_type,tag,view,chem,n_seeds,seeds,test_mae_mean,test_mae_std,test_rmse_mean,test_rmse_std,test_mape_mean,test_mape_std,test_15_accuracy_mean,test_15_accuracy_std,test_10_accuracy_mean,test_10_accuracy_std,test_seen_mape_mean,test_seen_mape_std,test_unseen_mape_mean,test_unseen_mape_std,val_mape_mean,val_mape_std,val_15_accuracy_mean,val_15_accuracy_std
CPMLP,Pooled,geobins_wd1e-3,single-checkpoint,Li-ion,2,42 2021,193.8514,9.3433,370.0754,25.0014,0.2179,0.004,55.386,1.095,41.5696,0.9304,0.1669,0.0008,0.2988,0.0091,0.2924,0.005,52.8087,0.4012
CPMLP,Pooled,geobins_wd1e-3,single-checkpoint,Na-ion,2,42 2021,58.8231,13.4668,73.9245,7.9769,0.3061,0.0825,22.4,15.2,18.8,18.8,0.2731,0.1047,0.3557,0.0495,0.2555,0.0444,23.1667,4.1667
CPMLP,Pooled,geobins_wd1e-3,single-checkpoint,Zn-ion,2,42 2021,178.7562,33.9404,365.2464,72.3425,0.4129,0.0678,37.5566,13.7066,31.4447,12.3447,0.4297,0.0018,0.4412,0.3382,0.3928,0.0472,33.475,0.725
CPMLP,Pooled,geobins_wd1e-4,per-chem-best-val,CALB,3,42 2021 2024,111.0456,68.6426,186.3068,152.5656,0.1211,0.0633,85.7098,15.4327,59.7987,16.2643,0.129,0.0964,0.1239,0.0105,0.0915,0.0301,86.719,8.0262
CPMLP,Pooled,geobins_wd1e-4,per-chem-best-val,Li-ion,3,42 2021 2024,174.2458,6.2252,332.1933,15.8099,0.2018,0.0129,60.057,1.0149,44.1772,1.0922,0.1554,0.004,0.2756,0.027,0.2673,0.0034,56.0144,0.085
CPMLP,Pooled,geobins_wd1e-4,per-chem-best-val,Na-ion,3,42 2021 2024,46.4611,5.7237,60.9867,2.2551,0.2574,0.0359,36.0667,5.4218,19.9333,16.2484,0.1591,0.0597,0.4049,0.0005,0.1837,0.0424,52.1667,15.6566
CPMLP,Pooled,geobins_wd1e-4,per-chem-best-val,Zn-ion,3,42 2021 2024,205.4035,46.7773,376.2931,61.0984,0.4569,0.0833,28.2544,17.2716,22.5798,16.0863,0.4948,0.092,0.4264,0.2769,0.4314,0.0668,28.9667,6.4032
CPMLP,Pooled,geobins_wd1e-4,single-checkpoint,CALB,3,42 2021 2024,106.8517,55.7221,145.9343,83.4433,0.1515,0.069,73.0238,23.8825,53.4265,23.644,0.1259,0.0603,0.2052,0.1164,0.1567,0.0344,72.7543,7.5729
CPMLP,Pooled,geobins_wd1e-4,single-checkpoint,Li-ion,3,42 2021 2024,188.6303,10.6169,368.0177,20.6199,0.2159,0.0044,56.1034,1.3522,42.3755,1.3697,0.1638,0.0044,0.2985,0.0075,0.2911,0.0045,53.858,1.5198
CPMLP,Pooled,geobins_wd1e-4,single-checkpoint,Na-ion,3,42 2021 2024,53.7095,13.1606,69.2701,9.26,0.282,0.0756,28.2667,14.9286,19.2,15.3606,0.2219,0.1121,0.3722,0.0467,0.2399,0.0423,26.5555,5.8773
CPMLP,Pooled,geobins_wd1e-4,single-checkpoint,Zn-ion,3,42 2021 2024,207.5689,49.2779,377.9934,61.757,0.4644,0.0914,26.1044,19.6864,21.5465,17.2495,0.4947,0.0919,0.4477,0.2762,0.4349,0.071,28.7,6.7788
CPMLP,Pooled,late_mlpE0_quick,per-chem-best-val,CALB,1,2021,93.3577,0.0,146.6171,0.0,0.1707,0.0,58.5513,0.0,58.1489,0.0,0.123,0.0,0.3628,0.0,0.1109,0.0,76.8612,0.0
CPMLP,Pooled,late_mlpE0_quick,per-chem-best-val,Na-ion,1,2021,69.4186,0.0,72.4559,0.0,0.424,0.0,2.4,0.0,1.6,0.0,0.3956,0.0,0.4666,0.0,0.1376,0.0,57.1667,0.0
CPMLP,Pooled,late_mlpE0_quick,per-chem-best-val,Zn-ion,1,2021,270.4872,0.0,381.5189,0.0,1.0507,0.0,11.9,0.0,8.8,0.0,1.0582,0.0,1.0076,0.0,1.0021,0.0,6.6,0.0
CPMLP,Pooled,late_mlpE0_quick,single-checkpoint,CALB,1,2021,93.3577,0.0,146.6171,0.0,0.1707,0.0,58.5513,0.0,58.1489,0.0,0.123,0.0,0.3628,0.0,0.1109,0.0,76.8612,0.0
CPMLP,Pooled,late_mlpE0_quick,single-checkpoint,Na-ion,1,2021,69.4186,0.0,72.4559,0.0,0.424,0.0,2.4,0.0,1.6,0.0,0.3956,0.0,0.4666,0.0,0.1376,0.0,57.1667,0.0
CPMLP,Pooled,late_mlpE0_quick,single-checkpoint,Zn-ion,1,2021,273.6664,0.0,379.3735,0.0,1.0808,0.0,10.75,0.0,8.45,0.0,1.0841,0.0,1.0622,0.0,1.0297,0.0,5.1,0.0
